Data;Estados;Categoria de Produtos;Família de Produtos;Receita;Valor Devolução;Quantidade de venda;Quantidade Devolução;Custo;Quantidade de NFs;Quantidade de Clientes;
01/07/2025;AM;BATERIA;BATERIA PREMIUM;745;0;1;0;497;1;1;
01/07/2025;AM;BATERIA;BATERIA START-STOP;7731;0;9;0;4950;9;9;
01/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;58409;0;161;0;35223;157;63;
01/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;27697;0;51;0;18948;33;27;
01/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;53311;780;65;1;34607;35;24;
02/07/2025;AM;BATERIA;BATERIA PREMIUM;2081;0;3;0;1308;3;3;
02/07/2025;AM;BATERIA;BATERIA START-STOP;9463;0;12;0;5192;12;12;
02/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;62771;807;166;2;38257;163;73;
02/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;17165;0;29;0;10819;27;20;
02/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;33062;2282;40;2;22082;27;22;
03/07/2025;AM;BATERIA;BATERIA PREMIUM;2152;0;3;0;1430;3;3;
03/07/2025;AM;BATERIA;BATERIA START-STOP;4219;2343;9;1;3795;11;10;
03/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;62900;1906;174;4;38548;169;80;
03/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;23993;555;41;1;15418;34;28;
03/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;40924;781;52;1;27251;30;26;
04/07/2025;AM;BATERIA;BATERIA PREMIUM;1440;0;2;0;872;2;2;
04/07/2025;AM;BATERIA;BATERIA START-STOP;10224;761;13;1;6792;15;15;
04/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;48642;819;132;2;29261;133;57;
04/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;12760;406;22;1;8408;19;16;
04/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;42900;0;55;0;27144;33;26;
05/07/2025;AM;BATERIA;BATERIA INDUSTRIAIS OU OFF-GRID;2734;0;2;0;1680;2;2;
05/07/2025;AM;BATERIA;BATERIA PREMIUM;760;0;1;0;436;1;1;
05/07/2025;AM;BATERIA;BATERIA START-STOP;2041;460;3;1;1283;5;5;
05/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;47679;0;123;0;28191;123;47;
05/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;9366;0;16;0;6117;13;11;
05/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;23080;0;28;0;14135;22;15;
06/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;16292;0;42;0;9697;42;7;
06/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;1817;0;3;0;1174;3;3;
07/07/2025;AM;BATERIA;BATERIA PREMIUM;701;0;1;0;436;1;1;
07/07/2025;AM;BATERIA;BATERIA START-STOP;7282;0;11;0;4953;11;8;
07/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;62144;873;166;2;36947;161;58;
07/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;22650;0;43;0;14633;31;26;
07/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;47024;2861;61;3;31148;38;30;
08/07/2025;AM;BATERIA;A CLASSIFICAR;690;0;1;0;374;1;1;
08/07/2025;AM;BATERIA;BATERIA PREMIUM;1426;0;2;0;872;2;2;
08/07/2025;AM;BATERIA;BATERIA START-STOP;3828;690;5;1;2449;7;6;
08/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;46309;900;124;1;28023;126;59;
08/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;15330;588;27;1;10149;25;21;
08/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;39497;0;48;0;26583;35;29;
09/07/2025;AM;BATERIA;A CLASSIFICAR;611;0;1;0;374;1;1;
09/07/2025;AM;BATERIA;BATERIA PREMIUM;1462;0;2;0;933;2;2;
09/07/2025;AM;BATERIA;BATERIA START-STOP;7116;1227;8;2;4594;12;11;
09/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;51449;626;144;1;31548;136;62;
09/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;9830;551;18;1;6511;19;16;
09/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;39856;0;51;0;25978;31;28;
10/07/2025;AM;BATERIA;A CLASSIFICAR;594;0;1;0;374;1;1;
10/07/2025;AM;BATERIA;BATERIA PREMIUM;2286;0;2;0;1523;2;2;
10/07/2025;AM;BATERIA;BATERIA START-STOP;7425;0;10;0;4959;10;9;
10/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;61240;1293;168;3;37637;148;74;
10/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;23911;550;44;1;15925;29;26;
10/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;43516;0;58;0;28537;41;34;
11/07/2025;AM;BATERIA;A CLASSIFICAR;525;0;1;0;374;1;1;
11/07/2025;AM;BATERIA;BATERIA PREMIUM;1224;0;2;0;872;2;2;
11/07/2025;AM;BATERIA;BATERIA START-STOP;3506;0;5;0;2187;5;4;
11/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;57083;383;152;1;34510;149;60;
11/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;24274;560;41;1;15654;37;25;
11/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;54317;0;71;0;37565;42;32;
12/07/2025;AM;BATERIA;A CLASSIFICAR;664;0;1;0;374;1;1;
12/07/2025;AM;BATERIA;ACESSÓRIOS;17;0;1;0;7;1;1;
12/07/2025;AM;BATERIA;BATERIA PREMIUM;562;0;1;0;436;1;1;
12/07/2025;AM;BATERIA;BATERIA START-STOP;4378;664;6;1;2694;8;7;
12/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;43666;2059;110;3;25830;115;44;
12/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;17578;477;30;1;11178;29;20;
12/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;17473;0;20;0;10822;13;12;
13/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;16319;0;41;0;9609;41;5;
13/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;707;0;1;0;376;1;1;
13/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;1630;0;2;0;983;2;2;
14/07/2025;AM;BATERIA;A CLASSIFICAR;553;0;1;0;374;1;1;
14/07/2025;AM;BATERIA;BATERIA START-STOP;9450;0;14;0;6261;14;12;
14/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;56651;480;146;1;34103;147;61;
14/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;18053;0;30;0;12222;24;20;
14/07/2025;AM;BATERIA;BATERIA VEÍCULOS PESADOS;45965;8750;57;8;30195;41;34;
15/07/2025;AM;BATERIA;A CLASSIFICAR;586;0;1;0;374;1;1;
15/07/2025;AM;BATERIA;BATERIA INDUSTRIAIS OU OFF-GRID;2712;0;2;0;1680;1;1;
15/07/2025;AM;BATERIA;BATERIA PREMIUM;1435;0;2;0;933;2;2;
15/07/2025;AM;BATERIA;BATERIA START-STOP;8630;0;11;0;5772;11;10;
15/07/2025;AM;BATERIA;BATERIA VEÍCULOS LEVES;52342;444;141;1;31511;140;67;
15/07/2025;AM;BATERIA;BATERIA VEÍCULOS MÉDIOS;20331;0;33;0;12752;29;22;
