Data;Estados;Categoria de Produtos;Fam°lia de Produtos; Receita ; Valor Devoluá∆o ;Quantidade de venda;Quantidade Devoluá∆o; Custo ; Quantidade de NFs ;Quantidade de Clientes;
01/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 745,00 ; R$ -   ;1;0; R$ 496,93 ; 1,00 ;1;
01/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 7.730,97 ; R$ -   ;9;0; R$ 4.949,66 ; 9,00 ;9;
01/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 58.409,03 ; R$ -   ;161;0; R$ 35.222,52 ; 157,00 ;63;
01/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 27.697,48 ; R$ -   ;51;0; R$ 18.948,48 ; 33,00 ;27;
01/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 53.311,40 ; R$ 780,00 ;65;1; R$ 34.607,38 ; 35,00 ;24;
02/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 2.081,00 ; R$ -   ;3;0; R$ 1.307,52 ; 3,00 ;3;
02/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 9.462,87 ; R$ -   ;12;0; R$ 5.191,81 ; 12,00 ;12;
02/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 62.771,25 ; R$ 807,00 ;166;2; R$ 38.256,68 ; 163,00 ;73;
02/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 17.165,43 ; R$ -   ;29;0; R$ 10.819,38 ; 27,00 ;20;
02/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 33.062,40 ; R$ 2.282,00 ;40;2; R$ 22.082,10 ; 27,00 ;22;
03/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 2.151,90 ; R$ -   ;3;0; R$ 1.429,70 ; 3,00 ;3;
03/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 4.218,70 ; R$ 2.343,00 ;9;1; R$ 3.794,71 ; 11,00 ;10;
03/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 62.899,68 ; R$ 1.906,20 ;174;4; R$ 38.548,40 ; 169,00 ;80;
03/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 23.993,16 ; R$ 554,66 ;41;1; R$ 15.417,73 ; 34,00 ;28;
03/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 40.923,61 ; R$ 781,49 ;52;1; R$ 27.251,14 ; 30,00 ;26;
04/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 1.440,00 ; R$ -   ;2;0; R$ 871,68 ; 2,00 ;2;
04/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 10.224,15 ; R$ 761,00 ;13;1; R$ 6.792,01 ; 15,00 ;15;
04/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 48.642,07 ; R$ 818,58 ;132;2; R$ 29.261,19 ; 133,00 ;57;
04/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 12.759,80 ; R$ 406,30 ;22;1; R$ 8.407,60 ; 19,00 ;16;
04/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 42.900,25 ; R$ -   ;55;0; R$ 27.144,44 ; 33,00 ;26;
05/07/2025;AM;BATERIA;BATERIA INDUSTRIAIS OU OFF-GRID; R$ 2.734,00 ; R$ -   ;2;0; R$ 1.680,00 ; 2,00 ;2;
05/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 760,00 ; R$ -   ;1;0; R$ 435,84 ; 1,00 ;1;
05/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 2.041,46 ; R$ 460,25 ;3;1; R$ 1.283,23 ; 5,00 ;5;
05/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 47.678,79 ; R$ -   ;123;0; R$ 28.191,24 ; 123,00 ;47;
05/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 9.366,37 ; R$ -   ;16;0; R$ 6.116,66 ; 13,00 ;11;
05/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 23.079,99 ; R$ -   ;28;0; R$ 14.135,49 ; 22,00 ;15;
06/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 16.292,08 ; R$ -   ;42;0; R$ 9.697,10 ; 42,00 ;7;
06/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 1.817,13 ; R$ -   ;3;0; R$ 1.174,02 ; 3,00 ;3;
07/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 701,46 ; R$ -   ;1;0; R$ 435,84 ; 1,00 ;1;
07/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 7.282,48 ; R$ -   ;11;0; R$ 4.953,42 ; 11,00 ;8;
07/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 62.144,30 ; R$ 873,20 ;166;2; R$ 36.947,28 ; 161,00 ;58;
07/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 22.649,62 ; R$ -   ;43;0; R$ 14.633,24 ; 31,00 ;26;
07/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 47.024,05 ; R$ 2.861,25 ;61;3; R$ 31.148,29 ; 38,00 ;30;
08/07/2025;AM;BATERIA;A CLASSIFICAR; R$ 690,00 ; R$ -   ;1;0; R$ 374,00 ; 1,00 ;1;
08/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 1.426,43 ; R$ -   ;2;0; R$ 871,68 ; 2,00 ;2;
08/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 3.828,32 ; R$ 690,00 ;5;1; R$ 2.448,97 ; 7,00 ;6;
08/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 46.309,44 ; R$ 899,94 ;124;1; R$ 28.022,75 ; 126,00 ;59;
08/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 15.329,98 ; R$ 587,68 ;27;1; R$ 10.148,91 ; 25,00 ;21;
08/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 39.496,64 ; R$ -   ;48;0; R$ 26.582,60 ; 35,00 ;29;
09/07/2025;AM;BATERIA;A CLASSIFICAR; R$ 610,96 ; R$ -   ;1;0; R$ 374,00 ; 1,00 ;1;
09/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 1.461,71 ; R$ -   ;2;0; R$ 932,77 ; 2,00 ;2;
09/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 7.115,54 ; R$ 1.226,71 ;8;2; R$ 4.594,03 ; 12,00 ;11;
09/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 51.449,34 ; R$ 626,42 ;144;1; R$ 31.548,35 ; 136,00 ;62;
09/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 9.829,73 ; R$ 551,48 ;18;1; R$ 6.511,45 ; 19,00 ;16;
09/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 39.856,20 ; R$ -   ;51;0; R$ 25.978,40 ; 31,00 ;28;
10/07/2025;AM;BATERIA;A CLASSIFICAR; R$ 594,10 ; R$ -   ;1;0; R$ 374,00 ; 1,00 ;1;
10/07/2025;AM;BATERIA;BATERIA PREMIUM; R$ 2.286,00 ; R$ -   ;2;0; R$ 1.522,96 ; 2,00 ;2;
10/07/2025;AM;BATERIA;BATERIA START-STOP; R$ 7.424,86 ; R$ -   ;10;0; R$ 4.958,69 ; 10,00 ;9;
10/07/2025;AM;BATERIA;BATERIA VE÷CULOS LEVES; R$ 61.240,14 ; R$ 1.293,29 ;168;3; R$ 37.637,10 ; 148,00 ;74;
10/07/2025;AM;BATERIA;BATERIA VE÷CULOS MêDIOS; R$ 23.911,37 ; R$ 550,00 ;44;1; R$ 15.925,44 ; 29,00 ;26;
10/07/2025;AM;BATERIA;BATERIA VE÷CULOS PESADOS; R$ 43.516,49 ; R$ -   ;58;0; R$ 28.537,40 ; 41,00 ;34;
11/07/2025;AM;BATERIA;A CLASSIFICAR; R$ 525,22 ; R$ -   ;1;0; R$ 374,00 ; 1,00 ;1;
